target,target_name,full_text,summary_66,summary_33
7,rec.autos,"I was wondering if anyone out there could enlighten me on this car I saw. the other day. It was a 2-door sports car, looked to be from the late 60s/. early 70s. It was called a Bricklin. The doors were really small. In addition,. the front bumper was separate from the rest of the body. This is . all I know. If anyone can tellme a model name, engine specs, years. of production, where this car is made, history, or whatever info you. have on this funky looking car, please e-mail.","I was wondering if anyone out there could enlighten me on this car I saw. It was a 2-door sports car, looked to be from the late 60s/. early 70s. In addition,. the front bumper was separate from the rest of the body. If anyone can tellme a model name, engine specs, years. of production, where this car is made, history, or whatever info you. have on this funky looking car, please e-mail.","I was wondering if anyone out there could enlighten me on this car I saw. It was a 2-door sports car, looked to be from the late 60s/. the front bumper was separate from the rest of the body. of production, where this car is made, history, or whatever info you."
4,comp.sys.mac.hardware,"A fair number of brave souls who upgraded their SI clock oscillator have. shared their experiences for this poll. Please send a brief message detailing. your experiences with the procedure. Top speed attained, CPU rated speed,. add on cards and adapters, heat sinks, hour of usage per day, floppy disk. functionality with 800 and 1.4 m floppies are especially requested.. I will be summarizing in the next two days, so please add to the network. knowledge base if you have done the clock upgrade and haven't answered this. poll. Thanks.","A fair number of brave souls who upgraded their SI clock oscillator have. shared their experiences for this poll. Top speed attained, CPU rated speed,. add on cards and adapters, heat sinks, hour of usage per day, floppy disk. I will be summarizing in the next two days, so please add to the network. knowledge base if you have done the clock upgrade and haven't answered this. Thanks.","A fair number of brave souls who upgraded their SI clock oscillator have. I will be summarizing in the next two days, so please add to the network. knowledge base if you have done the clock upgrade and haven't answered this."
4,comp.sys.mac.hardware,"well folks, my mac plus finally gave up the ghost this weekend after. starting life as a 512k way back in 1985. sooo, i'm in the market for a. new machine a bit sooner than i intended to be.... i'm looking into picking up a powerbook 160 or maybe 180 and have a bunch. of questions that (hopefully) somebody can answer:. * does anybody know any dirt on when the next round of powerbook. introductions are expected? i'd heard the 185c was supposed to make an. appearence ""this summer"" but haven't heard anymore on it - and since i. don't have access to macleak, i was wondering if anybody out there had. more info.... * has anybody heard rumors about price drops to the powerbook line like the. ones the duo's just went through recently?. * what's the impression of the display on the 180? i could probably swing. a 180 if i got the 80Mb disk rather than the 120, but i don't really have. a feel for how much ""better"" the display is (yea, it looks great in the. store, but is that all ""wow"" or is it really that good?). could i solicit. some opinions of people who use the 160 and 180 day-to-day on if its worth. taking the disk size and money hit to get the active display? (i realize. this is a real subjective question, but i've only played around with the. machines in a computer store breifly and figured the opinions of somebody. who actually uses the machine daily might prove helpful).. * how well does hellcats perform? ;). thanks a bunch in advance for any info - if you could email, i'll post a. summary (news reading time is at a premium with finals just around the. corner... :( ). --. Tom Willis \ twillis@ecn.purdue.edu \ Purdue Electrical Engineering","starting life as a 512k way back in 1985. sooo, i'm in the market for a. new machine a bit sooner than i intended to be.... i'm looking into picking up a powerbook 160 or maybe 180 and have a bunch. * does anybody know any dirt on when the next round of powerbook. introductions are expected? i'd heard the 185c was supposed to make an. appearence ""this summer"" but haven't heard anymore on it - and since i. don't have access to macleak, i was wondering if anybody out there had. more info.... * has anybody heard rumors about price drops to the powerbook line like the. * what's the impression of the display on the 180? a 180 if i got the 80Mb disk rather than the 120, but i don't really have. a feel for how much ""better"" the display is (yea, it looks great in the. some opinions of people who use the 160 and 180 day-to-day on if its worth. taking the disk size and money hit to get the active display? this is a real subjective question, but i've only played around with the. machines in a computer store breifly and figured the opinions of somebody. who actually uses the machine daily might prove helpful).. * how well does hellcats perform? thanks a bunch in advance for any info - if you could email, i'll post a. summary (news reading time is at a premium with finals just around the. corner... :( ). Tom Willis \ twillis@ecn.purdue.edu \ Purdue Electrical Engineering","starting life as a 512k way back in 1985. sooo, i'm in the market for a. new machine a bit sooner than i intended to be.... i'm looking into picking up a powerbook 160 or maybe 180 and have a bunch. more info.... * has anybody heard rumors about price drops to the powerbook line like the. * what's the impression of the display on the 180? a 180 if i got the 80Mb disk rather than the 120, but i don't really have. a feel for how much ""better"" the display is (yea, it looks great in the. taking the disk size and money hit to get the active display? this is a real subjective question, but i've only played around with the. thanks a bunch in advance for any info - if you could email, i'll post a. summary (news reading time is at a premium with finals just around the."
14,sci.space,"From article <C5owCB.n3p@world.std.com>, by tombaker@world.std.com (Tom A Baker):. My understanding is that the 'expected errors' are basically. known bugs in the warning system software - things are checked. that don't have the right values in yet because they aren't. set till after launch, and suchlike. Rather than fix the code. and possibly introduce new bugs, they just tell the crew. 'ok, if you see a warning no. 213 before liftoff, ignore it'.","My understanding is that the 'expected errors' are basically. known bugs in the warning system software - things are checked. that don't have the right values in yet because they aren't. and possibly introduce new bugs, they just tell the crew. 213 before liftoff, ignore it'.",known bugs in the warning system software - things are checked. that don't have the right values in yet because they aren't.
16,talk.politics.guns,". Of course. The term must be rigidly defined in any bill.. I doubt she uses this term for that. You are using a quote allegedly. from her, can you back it up?. I read the article as presenting first an argument about weapons of mass. destruction (as commonly understood) and then switching to other topics.. The first point evidently was to show that not all weapons should be. allowed, and then the later analysis was, given this understanding, to. consider another class..","You are using a quote allegedly. from her, can you back it up?. I read the article as presenting first an argument about weapons of mass. destruction (as commonly understood) and then switching to other topics.. The first point evidently was to show that not all weapons should be. allowed, and then the later analysis was, given this understanding, to. consider another class..","I read the article as presenting first an argument about weapons of mass. The first point evidently was to show that not all weapons should be. allowed, and then the later analysis was, given this understanding, to."
13,sci.med,"There were a few people who responded to my request for info on. treatment for astrocytomas through email, whom I couldn't thank. directly because of mail-bouncing probs (Sean, Debra, and Sharon). So. I thought I'd publicly thank everyone.. Thanks! . (I'm sure glad I accidentally hit ""rn"" instead of ""rm"" when I was. trying to delete a file last September. ""Hmmm... 'News?' What's. this?""....)","There were a few people who responded to my request for info on. So. I thought I'd publicly thank everyone.. Thanks! (I'm sure glad I accidentally hit ""rn"" instead of ""rm"" when I was. ""Hmmm... What's. this?""....)","There were a few people who responded to my request for info on. I thought I'd publicly thank everyone.. (I'm sure glad I accidentally hit ""rn"" instead of ""rm"" when I was. What's."
3,comp.sys.ibm.pc.hardware,". ALL this shows is that YOU don't know much about SCSI.. SCSI-1 {with a SCSI-1 controler chip} range is indeed 0-5MB/s. and that is ALL you have right about SCSI. SCSI-1 {With a SCSI-2 controller chip}: 4-6MB/s with 10MB/s burst {8-bit}. Note the INCREASE in SPEED, the Mac Quadra uses this version of SCSI-1. so it DOES exist. Some PC use this set up too.. SCSI-2 {8-bit/SCSI-1 mode}: 4-6MB/s with 10MB/s burst. SCSI-2 {16-bit/wide or fast mode}: 8-12MB/s with 20MB/s burst. SCSI-2 {32-bit/wide AND fast}: 15-20MB/s with 40MB/s burst. . By your OWN data the ""Although SCSI is twice as fast as ESDI"" is correct. With a SCSI-2 controller chip SCSI-1 can reach 10MB/s which is indeed. ""20% faster than IDE"" {120% of 8.3 is 9.96}. ALL these SCSI facts have been. posted to this newsgroup in my Mac & IBM info sheet {available by FTP on . sumex-aim.stanford.edu (36.44.0.6) in the info-mac/report as . mac-ibm-compare[version #].txt (It should be 173 but 161 may still be there)}. Part of this problem is both Mac and IBM PC are inconsiant about what SCSI. is which. Though it is WELL documented that the Quadra has a SCSI-2 chip. an Apple salesperson said ""it uses a fast SCSI-1 chip"" {Not at a 6MB/s,. 10MB/s burst it does not. SCSI-1 is 5MB/s maximum synchronous and Quadra. uses ANsynchronous SCSI which is SLOWER} It seems that Mac and IBM see. SCSI-1 interface and think 'SCSI-1' when it maybe a SCSI-1 interface driven. in the machine by a SCSi-2 controller chip in 8-bit mode {Which is MUCH. FASTER then true SCSI-1 can go}.","ALL this shows is that YOU don't know much about SCSI.. SCSI-1 {with a SCSI-1 controler chip} range is indeed 0-5MB/s. and that is ALL you have right about SCSI. SCSI-1 {With a SCSI-2 controller chip}: 4-6MB/s with 10MB/s burst {8-bit}. Note the INCREASE in SPEED, the Mac Quadra uses this version of SCSI-1. Some PC use this set up too.. SCSI-2 {8-bit/SCSI-1 mode}: 4-6MB/s with 10MB/s burst. SCSI-2 {16-bit/wide or fast mode}: 8-12MB/s with 20MB/s burst. SCSI-2 {32-bit/wide AND fast}: 15-20MB/s with 40MB/s burst. By your OWN data the ""Although SCSI is twice as fast as ESDI"" is correct. With a SCSI-2 controller chip SCSI-1 can reach 10MB/s which is indeed. Part of this problem is both Mac and IBM PC are inconsiant about what SCSI. is which. Though it is WELL documented that the Quadra has a SCSI-2 chip. an Apple salesperson said ""it uses a fast SCSI-1 chip"" {Not at a 6MB/s,. SCSI-1 is 5MB/s maximum synchronous and Quadra. uses ANsynchronous SCSI which is SLOWER} It seems that Mac and IBM see. SCSI-1 interface and think 'SCSI-1' when it maybe a SCSI-1 interface driven. in the machine by a SCSi-2 controller chip in 8-bit mode {Which is MUCH.","ALL this shows is that YOU don't know much about SCSI.. SCSI-1 {with a SCSI-1 controler chip} range is indeed 0-5MB/s. SCSI-1 {With a SCSI-2 controller chip}: 4-6MB/s with 10MB/s burst {8-bit}. By your OWN data the ""Although SCSI is twice as fast as ESDI"" is correct. With a SCSI-2 controller chip SCSI-1 can reach 10MB/s which is indeed. Part of this problem is both Mac and IBM PC are inconsiant about what SCSI. Though it is WELL documented that the Quadra has a SCSI-2 chip. uses ANsynchronous SCSI which is SLOWER} It seems that Mac and IBM see. in the machine by a SCSi-2 controller chip in 8-bit mode {Which is MUCH."
4,comp.sys.mac.hardware,". I've had the board for over a year, and it does work with Diskdoubler,. but not with Autodoubler, due to a licensing problem with Stac Technologies,. the owners of the board's compression technology. (I'm writing this. from memory; I've lost the reference. Please correct me if I'm wrong.). Using the board, I've had problems with file icons being lost, but it's. hard to say whether it's the board's fault or something else; however,. if I decompress the troubled file and recompress it without the board,. the icon usually reappears. Because of the above mentioned licensing. problem, the freeware expansion utility DD Expand will not decompress. a board-compressed file unless you have the board installed.. Since Stac has its own product now, it seems unlikely that the holes. in Autodoubler/Diskdoubler related to the board will be fixed.. Which is sad, and makes me very reluctant to buy Stac's product since. they're being so stinky. (But hey, that's competition.). --","I've had the board for over a year, and it does work with Diskdoubler,. but not with Autodoubler, due to a licensing problem with Stac Technologies,. the owners of the board's compression technology. from memory; I've lost the reference. Using the board, I've had problems with file icons being lost, but it's. hard to say whether it's the board's fault or something else; however,. if I decompress the troubled file and recompress it without the board,. the icon usually reappears. Because of the above mentioned licensing. problem, the freeware expansion utility DD Expand will not decompress. a board-compressed file unless you have the board installed.. Since Stac has its own product now, it seems unlikely that the holes. in Autodoubler/Diskdoubler related to the board will be fixed..","I've had the board for over a year, and it does work with Diskdoubler,. the owners of the board's compression technology. Using the board, I've had problems with file icons being lost, but it's. hard to say whether it's the board's fault or something else; however,. if I decompress the troubled file and recompress it without the board,. Since Stac has its own product now, it seems unlikely that the holes."
8,rec.motorcycles,"I have a line on a Ducati 900GTS 1978 model with 17k on the clock. Runs. very well, paint is the bronze/brown/orange faded out, leaks a bit of oil. and pops out of 1st with hard accel. The shop will fix trans and oil . leak. They sold the bike to the 1 and only owner. They want $3495, and. I am thinking more like $3K. Any opinions out there? Please email me.. Thanks. It would be a nice stable mate to the Beemer. Then I'll get. a jap bike and call myself Axis Motors!. -- . -----------------------------------------------------------------------. ""Tuba"" (Irwin) ""I honk therefore I am"" CompuTrac-Richardson,Tx. irwin@cmptrc.lonestar.org DoD #0826 (R75/6)","I have a line on a Ducati 900GTS 1978 model with 17k on the clock. Runs. very well, paint is the bronze/brown/orange faded out, leaks a bit of oil. and pops out of 1st with hard accel. The shop will fix trans and oil . leak. They sold the bike to the 1 and only owner. Please email me.. Thanks. It would be a nice stable mate to the Beemer. a jap bike and call myself Axis Motors!. ""Tuba"" (Irwin) ""I honk therefore I am"" CompuTrac-Richardson,Tx.","I have a line on a Ducati 900GTS 1978 model with 17k on the clock. very well, paint is the bronze/brown/orange faded out, leaks a bit of oil. They sold the bike to the 1 and only owner. Please email me.. Thanks. ""Tuba"" (Irwin) ""I honk therefore I am"" CompuTrac-Richardson,Tx."
19,talk.religion.misc,". Yep, that's pretty much it. I'm not a Jew but I understand that this is the. Jewish way of thinking. However, the Jews believe that the Covenant between. YHWH and the Patriarchs (Abraham and Moses, in this case) establishes a Moral. Code to follow for mankind. Even the Jews could not decide where the boundaries. fall, though.. As I understand it, the Sadducees believed that the Torah was all that was. required, whereas the Pharisees (the ancestors of modern Judaism) believed that. the Torah was available for interpretation to lead to an understanding of. the required Morality in all its nuances (->Talmud).. The essence of all of this is that Biblical Morality is an interface between. Man and YHWH (for a Jew or Christian) and does not necessarily indicate. anything about YHWH outside of that relationship (although one can speculate).. The trouble with all of this is that we don't really know what the ""created. in His image"" means. I've heard a number of different opinions on this and. have still not come to any conclusion. This rather upsets the Apple Cart if. one wants to base a Life Script on this shaky foundation (to mix metaphors. unashamedly!) As to living by Christ's example, we know very little about. Jesus as a person. We only have his recorded utterances in a set of narratives. by his followers, and some very small references from comtemporary historians.. Revelation aside, one can only ""know"" Christ second-hand or worse.. This is not an attempt to debunk Christianity (although it may seem that way. initially), the point I`m trying to make is that we only really have the Bible. to interpret, and that interpretation is by humanity. I guess this is where. Faith or Relevation comes in with all its inherent subjectiveness.. No. There may be an absolute moral code. There are undoubtably multiple. moral codes. The multiple moral codes may be founded in the absolute moral. code. As an example, a parent may tell a child never to swear, and the child. may assume that the parent never swears simply because the parent has told. the child that it is ""wrong"". Now, the parent may swear like a trooper in. the pub or bar (where there are no children). The ""wrongness"" here is if. the child disobeys the parent. The parent may feel that it is ""inappropriate"". to swear in front of children but may be quite happy to swear in front of. animals. The analogy does not quite hold water because the child knows that. he is of the same type as the parent (and may be a parent later in life) but. you get the gist of it? Incidentally, the young child considers the directive. as absolute until he gets older (see Piaget) and learns a morality of his own.. David.. ---. On religion:","I'm not a Jew but I understand that this is the. However, the Jews believe that the Covenant between. YHWH and the Patriarchs (Abraham and Moses, in this case) establishes a Moral. Even the Jews could not decide where the boundaries. fall, though.. As I understand it, the Sadducees believed that the Torah was all that was. required, whereas the Pharisees (the ancestors of modern Judaism) believed that. the Torah was available for interpretation to lead to an understanding of. the required Morality in all its nuances (->Talmud).. The essence of all of this is that Biblical Morality is an interface between. Man and YHWH (for a Jew or Christian) and does not necessarily indicate. The trouble with all of this is that we don't really know what the ""created. I've heard a number of different opinions on this and. one wants to base a Life Script on this shaky foundation (to mix metaphors. unashamedly!) We only have his recorded utterances in a set of narratives. This is not an attempt to debunk Christianity (although it may seem that way. initially), the point I`m trying to make is that we only really have the Bible. to interpret, and that interpretation is by humanity. The multiple moral codes may be founded in the absolute moral. As an example, a parent may tell a child never to swear, and the child. may assume that the parent never swears simply because the parent has told. the child that it is ""wrong"". Now, the parent may swear like a trooper in. the pub or bar (where there are no children). The ""wrongness"" here is if. the child disobeys the parent. The parent may feel that it is ""inappropriate"". to swear in front of children but may be quite happy to swear in front of. animals. The analogy does not quite hold water because the child knows that. he is of the same type as the parent (and may be a parent later in life) but. you get the gist of it? Incidentally, the young child considers the directive. as absolute until he gets older (see Piaget) and learns a morality of his own.. David.. ---.","I'm not a Jew but I understand that this is the. However, the Jews believe that the Covenant between. YHWH and the Patriarchs (Abraham and Moses, in this case) establishes a Moral. fall, though.. As I understand it, the Sadducees believed that the Torah was all that was. required, whereas the Pharisees (the ancestors of modern Judaism) believed that. the Torah was available for interpretation to lead to an understanding of. The essence of all of this is that Biblical Morality is an interface between. The trouble with all of this is that we don't really know what the ""created. initially), the point I`m trying to make is that we only really have the Bible. The multiple moral codes may be founded in the absolute moral. As an example, a parent may tell a child never to swear, and the child. may assume that the parent never swears simply because the parent has told. the child disobeys the parent. The parent may feel that it is ""inappropriate"". to swear in front of children but may be quite happy to swear in front of. The analogy does not quite hold water because the child knows that. he is of the same type as the parent (and may be a parent later in life) but."
