base_text_id,model_prediction_variability,llm_prediction_variability,model_confidence_range,llm_confidence_range,lime_keyword_drift
2,3,2,0.155,0.2,0.869
6,3,2,0.117,0.17,0.985
22,2,2,0.067,0.3,0.447
23,1,2,0.599,0.1,0.778
25,1,3,0.302,0.05,0.557
27,1,3,0.44,0.05,0.607
28,1,3,0.106,0.15,0.487
29,4,3,0.235,0.83,0.916
34,1,3,0.022,0.15,0.47
38,1,2,0.286,0.17,0.648
41,5,4,0.068,0.15,0.962
48,3,2,0.291,0.1,0.566
51,2,2,0.269,0.1,0.755
52,1,4,0.427,0.92,0.757
53,3,3,0.586,0.07,0.886
57,4,2,0.379,0.1,0.948
66,4,2,0.357,0.17,0.969
73,5,2,0.25,0.17,0.78
75,1,5,0.548,0.1,0.821
78,3,2,0.173,0.05,0.919
79,1,3,0.718,0.89,0.855
84,2,2,0.587,0.0,0.595
85,1,2,0.002,0.49,0.548
91,2,2,0.806,0.89,0.863
93,4,1,0.152,0.1,0.91
95,5,3,0.078,0.1,1.0
96,1,2,0.222,0.5,0.638
98,3,1,0.236,0.15,0.886
